epoch,train_loss,val_loss,val_auroc,best_so_far
1,0.2180273850134296,0.16311037779309367,0.9586023041035895,True
2,0.14450693603988005,0.12995847360095905,0.9726173474245453,True
3,0.11613375642285473,0.11279520352605645,0.9807102732552604,True
4,0.10015545850627586,0.11693963789530383,0.9839474435875464,True
5,0.08789159461995151,0.11932971925680874,0.9876416262020375,True
6,0.07791775745437017,0.1318371233366828,0.9904027420736932,True
7,0.0719738343798618,0.07432910817042562,0.9926497191278683,True
8,0.07219329193399028,0.08982814564049699,0.984271160620775,False
9,0.07195694307173929,0.10283261884487312,0.9865752642102257,False
10,0.06389658263834636,0.20849497923414215,0.9915071884223555,False
11,0.061914158584637065,0.08974517802245745,0.9912025135675522,False
12,0.06476039692645572,0.08920283211779048,0.9899647719699134,False
