epoch,train_loss,val_loss,val_auroc,best_so_far
1,0.22243052172833008,0.16320059488292868,0.9583166714272112,True
2,0.14886892150799502,0.13502618886587273,0.9682947729220223,True
3,0.11790286314087392,0.16906409579833956,0.9760639817195087,True
4,0.10427609151237174,0.09596764631853759,0.9846520041892792,True
5,0.08568856814842965,0.1295053499345561,0.9857754927163668,True
6,0.07848295335204498,0.0749748110316182,0.9910882604970008,True
7,0.07330955225046955,0.07633217350217222,0.9883652289821955,False
8,0.06733691866431281,0.06284795545098436,0.9943444730077121,True
9,0.06289878273944584,0.06151251199136253,0.9945539369703895,True
10,0.061571971715104305,0.05446187958462548,0.9952584975721224,True
11,0.06025017345341566,0.18970970115588823,0.9947253165762163,False
12,0.05833490679045299,0.05020363387146979,0.9970675045225175,True
13,0.05314643703204854,0.07180589192923699,0.9945729791488147,False
14,0.04990592938843884,0.05385015054627229,0.996324859563934,False
15,0.05212997998678289,0.07566539152660443,0.9880415119489669,False
16,0.05020715241196202,0.03842648883698551,0.9972388841283443,True
17,0.047735923929685946,0.14738499430072216,0.9961534799581073,False
18,0.05227828718335728,0.06830269922964445,0.9951252023231458,False
19,0.04876329841609718,0.06592567722874744,0.9975245168047224,True
20,0.04410423212759861,0.044132756566955846,0.997657812053699,True
21,0.0461155002178686,0.0446713408526346,0.996401028277635,False
22,0.041528163897150534,0.04552195546793119,0.9955631724269257,False
23,0.04199777075747058,0.18459203338805047,0.9951061601447204,False
24,0.04600134010196441,0.2878448087295503,0.9911644292107018,False
25,0.041102962889657146,0.03839908770591248,0.9972388841283443,False
