epoch,train_loss,val_loss,val_auroc,best_so_far
1,0.2185315259351706,0.27595983582143563,0.958926021136818,True
2,0.13452687257538434,0.1389687438957564,0.9760830238979339,True
3,0.10623928579796951,0.17418758901020953,0.9825002380272303,True
4,0.08888052988832242,0.10890077139812572,0.975283252404075,False
5,0.08009557765904583,0.1422182150924479,0.9829762924878606,True
6,0.07894663113591117,0.09689819315121374,0.9891459582976292,True
7,0.07658321689576948,0.11245079167926585,0.9880415119489669,False
8,0.07493295011600398,0.08053499886780295,0.9853756069694373,False
9,0.06758691553111895,0.13073116040411797,0.9921927068456631,True
10,0.05966808058846878,0.060427730547562813,0.9938303341902315,True
11,0.06161604321600526,0.1360832886158965,0.9871084452061316,False
12,0.061025987300917364,0.08636210244575529,0.9943635151861373,True
13,0.05835475461809131,0.15762449880592697,0.9948014852899171,True
14,0.05794451138544306,0.07530326174415705,0.9932209844806246,False
15,0.050777033984205334,0.05131225063259365,0.9946872322193658,False
16,0.05028183222728558,0.04616675250061596,0.995963058173855,True
17,0.05472776436815854,0.05525226123232878,0.9941159668666095,False
18,0.05423816198525838,0.1837774262059736,0.9957345520327525,False
19,0.05744300699122598,0.062067091820462966,0.995867847281729,False
20,0.055668420336361955,0.10576724630730752,0.9948966961820431,False
21,0.05308485248884916,0.05380937098774291,0.9957155098543273,False
