run,threshold,auroc,auroc_ci_low,auroc_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,tp,fn,tn,fp
logreg,0.58797365,0.9297720797720798,0.9043892755499197,0.9524993284449489,0.9641025641025641,0.9457964468533575,0.9808751320474197,0.7521367521367521,0.6971020299145299,0.8099182902658838,0.8846153846153846,0.8589743589743589,0.9102564102564102,376,14,176,58
cnn_seed0,0.4109988510608673,0.9622287968441815,0.947599113580189,0.9755573754504363,0.9512820512820512,0.92912919602155,0.9719387755102041,0.7905982905982906,0.737282656341321,0.8405270376175549,0.8910256410256411,0.8669471153846154,0.9134615384615384,371,19,185,49
cnn_seed1,0.6306967735290527,0.9649901380670611,0.9507570283677709,0.9772745220169342,0.9538461538461539,0.9328348178462527,0.9736859372841553,0.7692307692307693,0.7136352603706972,0.8198264163745335,0.8846153846153846,0.8605769230769231,0.9086538461538461,372,18,180,54
cnn_seed2,0.2243981510400772,0.9742603550295859,0.9619631247463523,0.9844441589515143,0.9871794871794872,0.9743589743589743,0.9974161871653481,0.7094017094017094,0.6491881994733377,0.7656970533250245,0.8830128205128205,0.8573317307692307,0.907051282051282,385,5,166,68
