comparison,difference,ci_low,ci_high
cnn_seed0 minus logreg,0.03245671707210174,0.013705087974616866,0.053956741428816214
cnn_seed1 minus logreg,0.03521805829498137,0.018123425615403355,0.056220693562497544
cnn_seed2 minus logreg,0.044488275257506094,0.026136727786935418,0.06617960965911149
